id|region|nsuId
010001100E820000|GB|70030000007181
010001F00D9B8000|GB|70030000006061
010002A00D168000|GB|70030000005341
010003D00867A000|GB|70030000001622
010004D00D222000|GB|70030000005423
010005900E520000|GB|70030000006921
010005D0079F8000|GB|70030000000861
010006100C050000|GB|70030000003782
010007B009314000|GB|70030000002162
010008300D1E0000|GB|70030000005422
010009100845A000|GB|70030000001262
01000C600D7CE000|GB|70030000006161
01000D7005E28000|GB|70030000000521
010010A00DB72000|GB|70030000006261
010012600A9DA000|GB|70030000002161
010012E00EBB8000|GB|70030000007483
010015C00D524000|GB|70030000008481
01001DB00CCA6000|GB|70030000005462
01001E600C790000|GB|70030000004301
01001F200A536000|GB|70030000004241
010020100B768000|GB|70030000004041
010021300ABDE000|GB|70030000002361
010021400C6C4000|GB|70030000004882
010022000BCDA000|GB|70030000004861
010023300B0F0000|GB|70030000002442
010023500C2F0000|GB|70030000004542
010023800D3F2000|GB|70030000005801
010025B002E92000|GB|70030000000121
010026800EA0A000|GB|70030000008521
010029B00D240000|GB|70030000007421
010029E00B0D8000|GB|70030000005403
01002CD00CB94000|GB|70030000004582
01002D000DF5A000|GB|70030000008002
01002E100D1E2000|GB|70030000005421
010030D005AE6000|GB|70030000000321
010037B00A9C8000|GB|70030000002221
010038100EA60000|GB|70030000007623
010038400CADC000|GB|70030000005461
010039300A56C000|GB|70030000002101
01003AE00A872000|GB|70030000002681
01003B2009D18000|GB|70030000001481
01003DD00DE14000|GB|70030000006601
01003DE00E000000|GB|70030000007401
010042100E8B0000|GB|70030000007142
010042600EDB6000|GB|70030000007681
010044200A112000|GB|70030000001822
0100454008DA8000|GB|70030000002207
010045600A0D4000|GB|70030000001501
010045B00849C000|GB|70030000001021
010047A008760000|GB|70030000001101
010048100BCD8000|GB|70030000000642
010048C00EAD0000|GB|70030000007361
010048F00CC7C000|GB|70030000006481
010049900D3C6000|GB|70030000005301
01004A400E5A4000|GB|70030000007262
01004AF00A772000|GB|70030000002602
01004B10031BE000|GB|70030000000081
01004BE00A682000|GB|70030000002141
01004C800D426000|GB|70030000007622
01004E300899E000|GB|70030000001421
010050200D0DA000|GB|70030000004821
010050800D424000|GB|70030000007125
010052400C622000|GB|70030000004664
010054300D288000|GB|70030000006681
010054500E6D4000|GB|70030000007584
010057D00CF10000|GB|70030000004881
01005A70096FA000|GB|70030000001721
01005AE00A528000|GB|70030000001661
01005B3005D6E000|GB|70030000001321
01005B800DF58000|GB|70030000006862
01005BE008674000|GB|70030000001201
01005E200E6FE000|GB|70030000007281
010060700D24C000|GB|70030000006444
010062600D236000|GB|70030000005442
010062F00CAE2000|GB|70030000004581
0100631008244000|GB|70030000003401
0100644008454000|GB|70030000000881
010064500AF72000|GB|70030000002521
010066F009524000|GB|70030000003121
010067300AFFA000|GB|70030000003541
010068000DE92000|GB|70030000006482
010069700AF9C000|GB|70030000002604
010069B00EAC8000|GB|70030000007742
01006A900C686000|GB|70030000004541
01006E30099B8000|GB|70030000001441
01006EE00AE38000|GB|70030000002581
010070900D972000|GB|70030000006201
010071000AAFC000|GB|70030000001881
010074100EB70000|GB|70030000007861
010075000D092000|GB|70030000005601
010075400DEC6000|GB|70030000006521
010076800B06E000|GB|70030000003761
010076A009426000|GB|70030000001821
010078700B2CC000|GB|70030000002961
010078800E8F0000|GB|70030000007661
01007A300C856000|GB|70030000004781
01007E6007764000|GB|70030000001322
010082900B810000|GB|70030000003342
010083D00D170000|GB|70030000005441
010086100AA54000|GB|70030000002421
010086500AC4A000|GB|70030000002001
010087E00B0E6000|GB|70030000003581
010088F00AD80000|GB|70030000002181
01008AF0080B8000|GB|70030000001002
01008D00062C2000|GB|70030000000361
01008F200C880000|GB|70030000005501
01008ca00d71c000|GB|70030000005841
010090B005150000|GB|70030000000601
0100917007888000|GB|70030000000641
010091700EA2A000|GB|70030000007621
010092D00CC12000|GB|70030000005061
010093700BCDC000|GB|70030000004862
010093E00ACB0000|GB|70030000002741
010094E00E018000|GB|70030000006861
010095B00AA38000|GB|70030000003181
010096000EB10000|GB|70030000007481
010097000C398000|GB|70030000004101
0100974004924000|GB|70030000000181
01009A500E3DA000|GB|70030000007583
01009C400C5CA000|GB|70030000004764
01009CF00A9C4000|GB|70030000001981
01009cd00c786000|GB|70030000005561
0100A1900B5B8000|GB|70030000003681
0100A4100DDC2000|GB|70030000006401
0100A4A00A958000|GB|70030000002822
0100A5400AC86000|GB|70030000002605
0100A5E00D22E000|GB|70030000006062
0100A8200D0EE000|GB|70030000005241
0100A9900C380000|GB|70030000004621
0100A9A0088FE000|GB|70030000001041
0100AA800E7E8000|GB|70030000008081
0100ACC00A56E000|GB|70030000002381
0100ADA00BE3C000|GB|70030000003641
0100AE800C9C6000|GB|70030000005902
0100B1C00949A000|GB|70030000001323
0100B2800D506000|GB|70030000006321
0100B4D00E5A6000|GB|70030000007263
0100B5000D49C000|GB|70030000007781
0100B7200E02E000|GB|70030000006702
0100B7B009532000|GB|70030000002163
0100B7E00E026000|GB|70030000008221
0100BB500AAE6000|GB|70030000001941
0100BEA0096CE000|GB|70030000001841
0100BED00E514000|GB|70030000007241
0100C1800D7AE000|GB|70030000005901
0100C1B00E1CA000|GB|70030000006981
0100C2500B718000|GB|70030000003041
0100C360070F6000|GB|70030000001261
0100C5E00E540000|GB|70030000007102
0100CA300C5BA000|GB|70030000004341
